strategy_file	strategy_name	market	tickers	folds	oos_geo_mean	final_value	final_log_sharpe	score	growth_rate	volatility	basis	frac_beat	total_trades	benchmark_geo_mean
strategyQwenCrypto.py	btc_patience_v11	crypto	BTC-USD,ETH-USD,XRP-USD,ADA-USD	25	1.096891987463622	10094774.032995092	-0.11897926569709213	-0.004657857061519385	0.01207087281958652	0.03345745976221181	alpha	0.32	133	1.0837311350746603
strategyFlashEq21.py	dpo_st_adx_v26_optimized	equity	AAPL,AMD,GOOGL,NVDA	16	1.2793591088857572	51508564.85640001	0.20950599816410667	0.20950599816410667	0.24635925635833306	0.07370651638845276	absolute	1.0	1341	0.0
strategyFlashEq15.py	dpo_supertrend_adx_refined_v7	equity	AAPL,AMD,GOOGL,NVDA	16	1.1804149693662964	14208732.349300269	0.12795615123908027	0.12795615123908027	0.16586604561102836	0.07581978874389615	absolute	1.0	807	0.0
strategyMiniEq1.py	dpo_williams_adx_regime_v2	equity	AAPL,AMD,GOOGL,NVDA	16	1.1632815306835589	11244944.758970667	0.1036581752562674	0.1036581752562674	0.15124491705638513	0.09517348360023545	absolute	0.9375	327	0.0
